Ttretmaent,Group,Letter,Aperture
Pre,Pre,A,4.596
Pre,Pre,A,5.07
Pre,Pre,A,2.771
Pre,Pre,A,5.063
Pre,Pre,A,2.998
Pre,Pre,A,3.203
Pre,Pre,A,2.352
Pre,Pre,A,3.702
Pre,Pre,A,3.475
Pre,Pre,A,4.197
Pre,Pre,A,1.599
Pre,Pre,A,2.414
Pre,Pre,A,3.298
Pre,Pre,A,3.399
Pre,Pre,A,1.894
Pre,Pre,A,0.666
Pre,Pre,A,1.413
Pre,Pre,A,2.199
Pre,Pre,A,2.4
Pre,Pre,A,1.373
Pre,Pre,A,1.901
Pre,Pre,A,1.917
Pre,Pre,A,1.022
Pre,Pre,A,1.017
Pre,Pre,A,1.245
Pre,Pre,A,0.945
Pre,Pre,A,1.366
Pre,Pre,A,1.947
Pre,Pre,A,0.787
Pre,Pre,A,1.94
Pre,Pre,A,1.199
Pre,Pre,A,0.833
Pre,Pre,A,1.081
Pre,Pre,A,1.315
Pre,Pre,A,1.377
Dark,Dark,B,0.799
Dark,Dark,B,0.149
Dark,Dark,B,0.44
Dark,Dark,B,0.764
Dark,Dark,B,0.094
Dark,Dark,B,0.333
Dark,Dark,B,1.33
Dark,Dark,B,0.927
Dark,Dark,B,1.15
Dark,Dark,B,0.419
Dark,Dark,B,0.533
Dark,Dark,B,0.044
Dark,Dark,B,0.298
Dark,Dark,B,0.178
Dark,Dark,B,0.311
Dark,Dark,B,0.12
Dark,Dark,B,0.716
Dark,Dark,B,0.593
Dark,Dark,B,0.634
Dark,Dark,B,0.239
Dark,Dark,B,0.355
Dark,Dark,B,0.894
Dark,Dark,B,0.149
Dark,Dark,B,0.323
Dark,Dark,B,0.14
Dark,Dark,B,0.094
Dark,Dark,B,0.314
Dark,Dark,B,0.804
Dark,Dark,B,0.603
Dark,Dark,B,1.351
Dark,Dark,B,1.247
Dark,Dark,B,0.949
Dark,Dark,B,0.471
Dark,Dark,B,0.802
Dark,Dark,B,0.298
Dark,Dark,B,0.447
Dark,Dark,B,0.666
0mM,Control,C,3.12
0mM,Control,C,1.674
0mM,Control,C,0.478
0mM,Control,C,1.877
0mM,Control,C,1.591
0mM,Control,C,2.079
0mM,Control,C,2.628
0mM,Control,C,1.181
0mM,Control,C,1.142
0mM,Control,C,1.331
0mM,Control,C,0.402
0mM,Control,C,0.497
0mM,Control,C,1.348
0mM,Control,C,2.265
0mM,Control,C,1.479
0mM,Control,C,1.2
0mM,Control,C,1.994
0mM,Control,C,1.084
0mM,Control,C,2.642
0mM,Control,C,2.133
0mM,Control,C,1.936
0mM,Control,C,2.511
0mM,Control,C,1.107
0mM,Control,C,0.844
0mM,Control,C,0.478
0mM,Control,C,3.706
0mM,Control,C,1.987
0mM,Control,C,1.199
0mM,Control,C,2.38
0mM,Control,C,2.233
0mM,Control,C,1.55
0mM,Control,C,1.942
0mM,Control,C,1.342
0mM,Control,C,0.869
0mM,Control,C,2.734
0mM,Control,C,3.95
0mM,Control,C,1.856
0mM,Control,C,1.201
0mM,Control,C,1.69
0mM,Control,C,2.041
0mM,Control,C,1.954
0mM,Control,C,1.405
0mM,Control,C,1.182
0mM,Control,C,1.917
0mM,Control,C,2.263
0mM,Control,C,2.117
0mM,Control,C,1.066
0mM,Control,C,0.678
0.4mM,Sucrose,D,0.975
0.4mM,Sucrose,D,1.549
0.4mM,Sucrose,D,1.571
0.4mM,Sucrose,D,2.641
0.4mM,Sucrose,D,3.954
0.4mM,Sucrose,D,1.702
0.4mM,Sucrose,D,1.554
0.4mM,Sucrose,D,2.913
0.4mM,Sucrose,D,2.913
0.4mM,Sucrose,D,1.414
0.4mM,Sucrose,D,2.287
0.4mM,Sucrose,D,1.704
0.4mM,Sucrose,D,1.736
0.4mM,Sucrose,D,1.373
0.4mM,Sucrose,D,1.194
0.4mM,Sucrose,D,1.074
0.4mM,Sucrose,D,2.846
0.4mM,Sucrose,D,1.313
0.4mM,Sucrose,D,0.518
0.4mM,Sucrose,D,2.431
0.4mM,Sucrose,D,1.45
0.4mM,Sucrose,D,0.596
0.4mM,Sucrose,D,1.979
0.4mM,Sucrose,D,0.793
0.4mM,Sucrose,D,3.103
0.4mM,Sucrose,D,2.738
0.4mM,Sucrose,D,2.776
0.4mM,Sucrose,D,4.456
0.4mM,Sucrose,D,1.691
1mM,Sucrose,E,2.605
1mM,Sucrose,E,2.473
1mM,Sucrose,E,3.068
1mM,Sucrose,E,5.124
1mM,Sucrose,E,3.553
1mM,Sucrose,E,2.446
1mM,Sucrose,E,3.102
1mM,Sucrose,E,3.202
1mM,Sucrose,E,1.743
1mM,Sucrose,E,2.516
1mM,Sucrose,E,2.979
1mM,Sucrose,E,1.798
1mM,Sucrose,E,1.519
1mM,Sucrose,E,1.413
1mM,Sucrose,E,1.349
1mM,Sucrose,E,1.831
1mM,Sucrose,E,1.526
1mM,Sucrose,E,3.248
1mM,Sucrose,E,1.995
1mM,Sucrose,E,1.81
1mM,Sucrose,E,2.246
1mM,Sucrose,E,3.733
1mM,Sucrose,E,1.121
1mM,Sucrose,E,3.099
1mM,Sucrose,E,3.136
1mM,Sucrose,E,4.619
1mM,Sucrose,E,2.644
1mM,Sucrose,E,2.755
1mM,Sucrose,E,2.478
1mM,Sucrose,E,2.279
1mM,Sucrose,E,3.277
1mM,Sucrose,E,1.435
1mM,Sucrose,E,2.685
1mM,Sucrose,E,1.434
1mM,Sucrose,E,1.022
1mM,Sucrose,E,2.405
1mM,Sucrose,E,1.168
1mM,Sucrose,E,2.17
1mM,Sucrose,E,1.465
1mM,Sucrose,E,2.187
1mM,Sucrose,E,3.363
1mM,Sucrose,E,1.111
1mM,Sucrose,E,2.751
30mM,Sucrose,F,1.665
30mM,Sucrose,F,0.679
30mM,Sucrose,F,2.938
30mM,Sucrose,F,2.192
30mM,Sucrose,F,1.347
30mM,Sucrose,F,0.813
30mM,Sucrose,F,1.263
30mM,Sucrose,F,0.715
30mM,Sucrose,F,0.708
30mM,Sucrose,F,0.647
30mM,Sucrose,F,0.067
30mM,Sucrose,F,1.18
30mM,Sucrose,F,0.679
30mM,Sucrose,F,0.794
30mM,Sucrose,F,0.948
30mM,Sucrose,F,1.075
30mM,Sucrose,F,0.993
30mM,Sucrose,F,1.07
30mM,Sucrose,F,0.636
30mM,Sucrose,F,1.505
30mM,Sucrose,F,0.906
30mM,Sucrose,F,1.831
30mM,Sucrose,F,1.435
30mM,Sucrose,F,1.053
30mM,Sucrose,F,2.133
30mM,Sucrose,F,1.49
30mM,Sucrose,F,1.07
30mM,Sucrose,F,0.533
30mM,Sucrose,F,0.518
30mM,Sucrose,F,0.259
30mM,Sucrose,F,0.24
30mM,Sucrose,F,0.298
30mM,Sucrose,F,0.478
30mM,Sucrose,F,0.281
30mM,Sucrose,F,0.281
30mM,Sucrose,F,0.679
50mM,Sucrose,G,0.666
50mM,Sucrose,G,0.717
50mM,Sucrose,G,0.628
50mM,Sucrose,G,0.614
50mM,Sucrose,G,0.437
50mM,Sucrose,G,0.4
50mM,Sucrose,G,2.133
50mM,Sucrose,G,0.266
50mM,Sucrose,G,1.831
50mM,Sucrose,G,0.54
50mM,Sucrose,G,0.447
50mM,Sucrose,G,0.298
50mM,Sucrose,G,0.236
50mM,Sucrose,G,0.355
50mM,Sucrose,G,0.497
50mM,Sucrose,G,0.133
50mM,Sucrose,G,0.444
50mM,Sucrose,G,0.302
50mM,Sucrose,G,0.183
50mM,Sucrose,G,0.853
50mM,Sucrose,G,0.179
50mM,Sucrose,G,0.314
50mM,Sucrose,G,0.596
