Ttretmaent,Ttretmaent,Letter,Aperture
Pre,Pre,A,0.835
Pre,Pre,A,4.371
Pre,Pre,A,1.427
Pre,Pre,A,2.095
Pre,Pre,A,3.15
Pre,Pre,A,4.47
Pre,Pre,A,2.004
Pre,Pre,A,2.674
Pre,Pre,A,2.573
Pre,Pre,A,2.065
Pre,Pre,A,2.091
Pre,Pre,A,2.975
Pre,Pre,A,3.765
Pre,Pre,A,1.876
Pre,Pre,A,1.899
Pre,Pre,A,1.132
Pre,Pre,A,3.866
Pre,Pre,A,2.228
Pre,Pre,A,1.295
Pre,Pre,A,1.577
Pre,Pre,A,2.021
Pre,Pre,A,0.791
Pre,Pre,A,2.19
Pre,Pre,A,2.761
Pre,Pre,A,2.39
Pre,Pre,A,2.532
Pre,Pre,A,2.934
Pre,Pre,A,2.641
Pre,Pre,A,2.387
Pre,Pre,A,2.799
Pre,Pre,A,1.99
Pre,Pre,A,2.892
Pre,Pre,A,1.555
Pre,Pre,A,3.635
Pre,Pre,A,3.635
Pre,Pre,A,4.14
Pre,Pre,A,1.351
Pre,Pre,A,2.998
Pre,Pre,A,2.998
Pre,Pre,A,3.012
Pre,Pre,A,3.313
Pre,Pre,A,1.73
Pre,Pre,A,1.851
Pre,Pre,A,2.449
Pre,Pre,A,2.475
Pre,Pre,A,1.752
Pre,Pre,A,2.628
Dark,Dark,B,0.745
Dark,Dark,B,0.298
Dark,Dark,B,1.068
Dark,Dark,B,0.802
Dark,Dark,B,0.666
Dark,Dark,B,0.666
Dark,Dark,B,0.089
Dark,Dark,B,0.485
Dark,Dark,B,0.819
Dark,Dark,B,0.647
Dark,Dark,B,0.942
Dark,Dark,B,0.372
Dark,Dark,B,0.347
Dark,Dark,B,0.199
Dark,Dark,B,0.162
Dark,Dark,B,0.067
Dark,Dark,B,0.471
Dark,Dark,B,0.2
Dark,Dark,B,0.149
Dark,Dark,B,0.223
Dark,Dark,B,0.52
Dark,Dark,B,0.534
Dark,Dark,B,1.11
Dark,Dark,B,0.044
Dark,Dark,B,0.914
Dark,Dark,B,0.067
Dark,Dark,B,0.067
Dark,Dark,B,0.133
Dark,Dark,B,0.211
Dark,Dark,B,0.444
Dark,Dark,B,0.126
Dark,Dark,B,0.24
Dark,Dark,B,0.275
Dark,Dark,B,0.266
Dark,Dark,B,0.603
Dark,Dark,B,0.355
Dark,Dark,B,0.133
Dark,Dark,B,0.099
Dark,Dark,B,0.133
Dark,Dark,B,0.266
Dark,Dark,B,0.063
Dark,Dark,B,0.067
Dark,Dark,B,0.311
Dark,Dark,B,0.226
Dark,Dark,B,0.047
Dark,Dark,B,0.866
Dark,Dark,B,0.199
0mM,C,C,2.926
0mM,C,C,2.753
0mM,C,C,0.975
0mM,C,C,0.336
0mM,C,C,1.076
0mM,C,C,1.158
0mM,C,C,2.477
0mM,C,C,3.045
0mM,C,C,1.068
0mM,C,C,0.434
0mM,C,C,0.632
0mM,C,C,1.256
0mM,C,C,1.702
0mM,C,C,1.392
0mM,C,C,0.14
0mM,C,C,1.538
0mM,C,C,0.133
0mM,C,C,1.813
0mM,C,C,2.747
0mM,C,C,0.906
0mM,C,C,0.466
0mM,C,C,1.212
0mM,C,C,0.485
0mM,C,C,0.689
0mM,C,C,1.192
0mM,C,C,0.97
0mM,C,C,1.367
0mM,C,C,1.476
0mM,C,C,1.03
0mM,C,C,0.777
0mM,C,C,0.664
0mM,C,C,1.698
0mM,C,C,0.089
0mM,C,C,1.559
0mM,C,C,1.252
0.4mM,Sucrose,D,2.425
0.4mM,Sucrose,D,1.386
0.4mM,Sucrose,D,1.159
0.4mM,Sucrose,D,2.908
0.4mM,Sucrose,D,0.723
0.4mM,Sucrose,D,0.619
0.4mM,Sucrose,D,1.325
0.4mM,Sucrose,D,0.6
0.4mM,Sucrose,D,1.351
0.4mM,Sucrose,D,0.894
0.4mM,Sucrose,D,0.471
0.4mM,Sucrose,D,0.876
0.4mM,Sucrose,D,0.063
0.4mM,Sucrose,D,1.787
0.4mM,Sucrose,D,1.749
0.4mM,Sucrose,D,0.27
0.4mM,Sucrose,D,0.105
0.4mM,Sucrose,D,0.388
0.4mM,Sucrose,D,1.074
0.4mM,Sucrose,D,0.764
0.4mM,Sucrose,D,1.201
0.4mM,Sucrose,D,1.466
0.4mM,Sucrose,D,0.656
0.4mM,Sucrose,D,2.519
0.4mM,Sucrose,D,1.106
0.4mM,Sucrose,D,0.97
0.4mM,Sucrose,D,0.902
0.4mM,Sucrose,D,0.573
1mM,Sucrose,E,1.258
1mM,Sucrose,E,1.551
1mM,Sucrose,E,1.955
1mM,Sucrose,E,2.143
1mM,Sucrose,E,2.004
1mM,Sucrose,E,1.79
1mM,Sucrose,E,1.158
1mM,Sucrose,E,1.649
1mM,Sucrose,E,1.287
1mM,Sucrose,E,1.56
1mM,Sucrose,E,1.022
1mM,Sucrose,E,1.143
1mM,Sucrose,E,0.849
1mM,Sucrose,E,0.708
1mM,Sucrose,E,1.966
1mM,Sucrose,E,1.645
1mM,Sucrose,E,2.054
1mM,Sucrose,E,1.362
1mM,Sucrose,E,0.761
1mM,Sucrose,E,1.534
1mM,Sucrose,E,1.299
1mM,Sucrose,E,4.23
1mM,Sucrose,E,1.794
30mM,Sucrose,F,0.333
30mM,Sucrose,F,0.999
30mM,Sucrose,F,0.686
30mM,Sucrose,F,0.865
30mM,Sucrose,F,1.349
30mM,Sucrose,F,0.48
30mM,Sucrose,F,0.881
30mM,Sucrose,F,0.966
30mM,Sucrose,F,0.721
30mM,Sucrose,F,2.091
30mM,Sucrose,F,0.81
30mM,Sucrose,F,0.957
30mM,Sucrose,F,1.415
30mM,Sucrose,F,0.968
30mM,Sucrose,F,0.669
30mM,Sucrose,F,1.359
30mM,Sucrose,F,1.244
30mM,Sucrose,F,2.025
30mM,Sucrose,F,1.043
30mM,Sucrose,F,0.2
30mM,Sucrose,F,2.133
30mM,Sucrose,F,1.621
30mM,Sucrose,F,1.467
30mM,Sucrose,F,0.854
30mM,Sucrose,F,1.644
30mM,Sucrose,F,1.273
30mM,Sucrose,F,1.152
30mM,Sucrose,F,1.013
30mM,Sucrose,F,1.138
30mM,Sucrose,F,1.47
30mM,Sucrose,F,1.092
30mM,Sucrose,F,0.427
30mM,Sucrose,F,0.961
30mM,Sucrose,F,0.409
30mM,Sucrose,F,0.149
30mM,Sucrose,F,0.178
30mM,Sucrose,F,0.333
30mM,Sucrose,F,0.614
30mM,Sucrose,F,0.453
30mM,Sucrose,F,1.432
30mM,Sucrose,F,0.942
30mM,Sucrose,F,0.961
30mM,Sucrose,F,0.2
30mM,Sucrose,F,0.756
30mM,Sucrose,F,1.533
30mM,Sucrose,F,1.013
30mM,Sucrose,F,0.805
30mM,Sucrose,F,0.48
30mM,Sucrose,F,0.716
30mM,Sucrose,F,0.178
30mM,Sucrose,F,1.432
30mM,Sucrose,F,0.089
30mM,Sucrose,F,0.906
30mM,Sucrose,F,0.4
30mM,Sucrose,F,1.416
30mM,Sucrose,F,0.533
50mM,Sucrose,G,1.025
50mM,Sucrose,G,0.604
50mM,Sucrose,G,0.518
50mM,Sucrose,G,1.318
50mM,Sucrose,G,1.158
50mM,Sucrose,G,0.801
50mM,Sucrose,G,0.771
50mM,Sucrose,G,0.926
50mM,Sucrose,G,0.694
50mM,Sucrose,G,0.533
50mM,Sucrose,G,0.178
50mM,Sucrose,G,0.089
50mM,Sucrose,G,0.756
50mM,Sucrose,G,1.293
50mM,Sucrose,G,1.8
50mM,Sucrose,G,1.8
50mM,Sucrose,G,0.687
50mM,Sucrose,G,0.977
50mM,Sucrose,G,0.4
50mM,Sucrose,G,0.133
50mM,Sucrose,G,0.906
50mM,Sucrose,G,0.178
50mM,Sucrose,G,0.178
50mM,Sucrose,G,0.676
50mM,Sucrose,G,0.647
50mM,Sucrose,G,0.275
50mM,Sucrose,G,0.266
50mM,Sucrose,G,1.465
50mM,Sucrose,G,0.444
50mM,Sucrose,G,0.745
50mM,Sucrose,G,0.791
50mM,Sucrose,G,0.478
50mM,Sucrose,G,0.32
50mM,Sucrose,G,0.678
50mM,Sucrose,G,0.517
50mM,Sucrose,G,0.717
100mM,Sucrose,G,0.405
100mM,Sucrose,H,0.266
100mM,Sucrose,H,0.507
100mM,Sucrose,H,0.888
100mM,Sucrose,H,1.134
100mM,Sucrose,H,0.48
100mM,Sucrose,H,0.298
100mM,Sucrose,H,0.239
100mM,Sucrose,H,0.067
100mM,Sucrose,H,0.283
100mM,Sucrose,H,0.149
100mM,Sucrose,H,0.464
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.099
100mM,Sucrose,H,0.24
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.183
100mM,Sucrose,H,0.067
100mM,Sucrose,H,0.178
100mM,Sucrose,H,0.067
100mM,Sucrose,H,0.067
100mM,Sucrose,H,0.044
100mM,Sucrose,H,0.27
100mM,Sucrose,H,0.427
100mM,Sucrose,H,0.358
100mM,Sucrose,H,0.44
100mM,Sucrose,H,0.777
100mM,Sucrose,H,0.977
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.178
100mM,Sucrose,H,0.466
100mM,Sucrose,H,0.379
100mM,Sucrose,H,0.266
100mM,Sucrose,H,0.283
100mM,Sucrose,H,0.188
100mM,Sucrose,H,0.518
100mM,Sucrose,H,0.518
100mM,Sucrose,H,0.094
100mM,Sucrose,H,0.24
100mM,Sucrose,H,0.24
100mM,Sucrose,H,0.183
100mM,Sucrose,H,0.314
100mM,Sucrose,H,0.453
100mM,Sucrose,H,0.453
100mM,Sucrose,H,0.745
100mM,Sucrose,H,0.089
100mM,Sucrose,H,0.281
100mM,Sucrose,H,0.16
100mM,Sucrose,H,0.16
100mM,Sucrose,H,0.281
100mM,Sucrose,H,0.226
100mM,Sucrose,H,1.332
100mM,Sucrose,H,0.298
100mM,Sucrose,H,0.266
100mM,Sucrose,H,0.133
100mM,Sucrose,H,0.089
100mM,Sucrose,H,0.355
100mM,Sucrose,H,0.199
100mM,Sucrose,H,0.266
100mM,Sucrose,H,0.188
100mM,Sucrose,H,0.089
0.4mM,Sorbitol,D,0.178
0.4mM,Sorbitol,D,0.427
0.4mM,Sorbitol,D,0.978
0.4mM,Sorbitol,D,2.867
0.4mM,Sorbitol,D,1.076
0.4mM,Sorbitol,D,0.941
0.4mM,Sorbitol,D,0.188
0.4mM,Sorbitol,D,1.212
0.4mM,Sorbitol,D,0.983
0.4mM,Sorbitol,D,1.281
0.4mM,Sorbitol,D,1.332
0.4mM,Sorbitol,D,0.24
0.4mM,Sorbitol,D,0.213
0.4mM,Sorbitol,D,0.16
0.4mM,Sorbitol,D,0.52
0.4mM,Sorbitol,D,0.76
0.4mM,Sorbitol,D,0.978
0.4mM,Sorbitol,D,1.821
0.4mM,Sorbitol,D,0.869
0.4mM,Sorbitol,D,0.603
0.4mM,Sorbitol,D,0.379
0.4mM,Sorbitol,D,1.008
0.4mM,Sorbitol,D,0.686
0.4mM,Sorbitol,D,1.084
0.4mM,Sorbitol,D,0.535
0.4mM,Sorbitol,D,0.711
0.4mM,Sorbitol,D,0.872
0.4mM,Sorbitol,D,0.736
0.4mM,Sorbitol,D,1.053
0.4mM,Sorbitol,D,0.799
0.4mM,Sorbitol,D,1.462
0.4mM,Sorbitol,D,1.405
1mM,Sorbitol,E,0.835
1mM,Sorbitol,E,0.656
1mM,Sorbitol,E,0.211
1mM,Sorbitol,E,0.535
1mM,Sorbitol,E,0.879
1mM,Sorbitol,E,0.266
1mM,Sorbitol,E,0.66
1mM,Sorbitol,E,1.201
1mM,Sorbitol,E,0.222
1mM,Sorbitol,E,0.911
1mM,Sorbitol,E,0.614
1mM,Sorbitol,E,1.611
1mM,Sorbitol,E,1.074
1mM,Sorbitol,E,1.79
1mM,Sorbitol,E,0.695
1mM,Sorbitol,E,1.208
1mM,Sorbitol,E,1.43
1mM,Sorbitol,E,0.666
1mM,Sorbitol,E,1.076
1mM,Sorbitol,E,1.196
1mM,Sorbitol,E,1.996
1mM,Sorbitol,E,1.07
1mM,Sorbitol,E,0.48
1mM,Sorbitol,E,2.666
1mM,Sorbitol,E,0.764
1mM,Sorbitol,E,1.426
1mM,Sorbitol,E,0.866
1mM,Sorbitol,E,1.6
1mM,Sorbitol,E,0.739
1mM,Sorbitol,E,0.537
1mM,Sorbitol,E,0.702
1mM,Sorbitol,E,0.776
1mM,Sorbitol,E,1.103
1mM,Sorbitol,E,1.093
30mM,Sorbitol,F,1.186
30mM,Sorbitol,F,1.339
30mM,Sorbitol,F,0.044
30mM,Sorbitol,F,0.044
30mM,Sorbitol,F,1.908
30mM,Sorbitol,F,0.764
30mM,Sorbitol,F,0.876
30mM,Sorbitol,F,0.149
30mM,Sorbitol,F,1.097
30mM,Sorbitol,F,0.703
30mM,Sorbitol,F,0.281
30mM,Sorbitol,F,0.188
30mM,Sorbitol,F,1.643
30mM,Sorbitol,F,0.133
30mM,Sorbitol,F,1.621
30mM,Sorbitol,F,1.081
30mM,Sorbitol,F,1.291
30mM,Sorbitol,F,0.947
30mM,Sorbitol,F,0.333
30mM,Sorbitol,F,1.266
30mM,Sorbitol,F,1.441
30mM,Sorbitol,F,1.996
30mM,Sorbitol,F,0.535
30mM,Sorbitol,F,0.981
30mM,Sorbitol,F,1.411
30mM,Sorbitol,F,1.2
30mM,Sorbitol,F,0.222
30mM,Sorbitol,F,1.794
30mM,Sorbitol,F,0.666
30mM,Sorbitol,F,0.4
30mM,Sorbitol,F,0.537
30mM,Sorbitol,F,0.388
30mM,Sorbitol,F,0.2
30mM,Sorbitol,F,0.266
30mM,Sorbitol,F,0.307
30mM,Sorbitol,F,0.133
30mM,Sorbitol,F,0.183
30mM,Sorbitol,F,0.792
30mM,Sorbitol,F,1.266
30mM,Sorbitol,F,0.266
30mM,Sorbitol,F,1.499
30mM,Sorbitol,F,1.237
30mM,Sorbitol,F,1.146
30mM,Sorbitol,F,0.708
30mM,Sorbitol,F,1.829
30mM,Sorbitol,F,0.022
30mM,Sorbitol,F,0.167
30mM,Sorbitol,F,0.604
30mM,Sorbitol,F,0.222
30mM,Sorbitol,F,0.178
30mM,Sorbitol,F,0.355
30mM,Sorbitol,F,0.275
30mM,Sorbitol,F,1.461
30mM,Sorbitol,F,0.577
30mM,Sorbitol,F,0.24
30mM,Sorbitol,F,1.111
30mM,Sorbitol,F,0.149
50mM,Sorbitol,G,0.283
50mM,Sorbitol,G,0.089
50mM,Sorbitol,G,0.266
50mM,Sorbitol,G,0.239
50mM,Sorbitol,G,0.4
50mM,Sorbitol,G,0.495
50mM,Sorbitol,G,0.813
50mM,Sorbitol,G,0.094
50mM,Sorbitol,G,0.199
50mM,Sorbitol,G,0.667
50mM,Sorbitol,G,0.275
50mM,Sorbitol,G,0.16
50mM,Sorbitol,G,0.333
50mM,Sorbitol,G,0.133
50mM,Sorbitol,G,0.133
50mM,Sorbitol,G,0.402
50mM,Sorbitol,G,0.748
50mM,Sorbitol,G,0.222
50mM,Sorbitol,G,0.388
50mM,Sorbitol,G,0.239
50mM,Sorbitol,G,0.089
50mM,Sorbitol,G,0.222
50mM,Sorbitol,G,0.094
50mM,Sorbitol,G,0.067
50mM,Sorbitol,G,0.603
50mM,Sorbitol,G,0.199
50mM,Sorbitol,G,0.298
50mM,Sorbitol,G,0.409
50mM,Sorbitol,G,0.199
50mM,Sorbitol,G,0.222
50mM,Sorbitol,G,0.199
50mM,Sorbitol,G,0.314
50mM,Sorbitol,G,0.379
50mM,Sorbitol,G,0.377
50mM,Sorbitol,G,0.137
100mM,Sorbitol,H,0.178
100mM,Sorbitol,H,0.133
100mM,Sorbitol,H,0.52
100mM,Sorbitol,H,0.178
100mM,Sorbitol,H,0.266
100mM,Sorbitol,H,0.211
100mM,Sorbitol,H,0.133
100mM,Sorbitol,H,0.222
100mM,Sorbitol,H,0.333
100mM,Sorbitol,H,0.211
100mM,Sorbitol,H,0.647
100mM,Sorbitol,H,0.099
100mM,Sorbitol,H,0.149
100mM,Sorbitol,H,0.549
100mM,Sorbitol,H,0.188
100mM,Sorbitol,H,0.089
100mM,Sorbitol,H,0.549
100mM,Sorbitol,H,0.047
100mM,Sorbitol,H,0.089
100mM,Sorbitol,H,0.149
100mM,Sorbitol,H,0.074
100mM,Sorbitol,H,0.099
100mM,Sorbitol,H,0.307
100mM,Sorbitol,H,0.338
100mM,Sorbitol,H,0.351
100mM,Sorbitol,H,0.347
100mM,Sorbitol,H,0.577
100mM,Sorbitol,H,0.133
100mM,Sorbitol,H,0.167
100mM,Sorbitol,H,0.16
100mM,Sorbitol,H,0.178
100mM,Sorbitol,H,0.347
100mM,Sorbitol,H,0.377
100mM,Sorbitol,H,0.178
100mM,Sorbitol,H,0.778
100mM,Sorbitol,H,0.879
100mM,Sorbitol,H,0.708
100mM,Sorbitol,H,0.298
100mM,Sorbitol,H,0.067
100mM,Sorbitol,H,0.149
100mM,Sorbitol,H,0.089
100mM,Sorbitol,H,0.285
100mM,Sorbitol,H,0.094
100mM,Sorbitol,H,0.067
100mM,Sorbitol,H,0.133
100mM,Sorbitol,H,0.311
100mM,Sorbitol,H,0.133
100mM,Sorbitol,H,0.298
100mM,Sorbitol,H,0.397
100mM,Sorbitol,H,0.347
100mM,Sorbitol,H,0.211
100mM,Sorbitol,H,0.167
100mM,Sorbitol,H,0.133
100mM,Sorbitol,H,0.044
100mM,Sorbitol,H,0.518
100mM,Sorbitol,H,0.067
100mM,Sorbitol,H,0.099
100mM,Sorbitol,H,0.397
100mM,Sorbitol,H,0.323
100mM,Sorbitol,H,0.298
100mM,Sorbitol,H,0.089
100mM,Sorbitol,H,0.2
